user_id,name,username,password,role,email,phone
U001,Administrator,admin,admin123,Admin,admin@library.com,9876500001
U002,Student 1,student1,student1001,Student,student1@library.com,9876500002
U003,Student 2,student2,student1002,Student,student2@library.com,9876500003
U004,Student 3,student3,student1003,Student,student3@library.com,9876500004
U005,Student 4,student4,student1004,Student,student4@library.com,9876500005
U006,Student 5,student5,student1005,Student,student5@library.com,9876500006
U007,Student 6,student6,student1006,Student,student6@library.com,9876500007
U008,Student 7,student7,student1007,Student,student7@library.com,9876500008
U009,Student 8,student8,student1008,Student,student8@library.com,9876500009
U010,Student 9,student9,student1009,Student,student9@library.com,9876500010
U011,Student 10,student10,student1010,Student,student10@library.com,9876500011
U012,Student 11,student11,student1011,Student,student11@library.com,9876500012
U013,Student 12,student12,student1012,Student,student12@library.com,9876500013
U014,Student 13,student13,student1013,Student,student13@library.com,9876500014
U015,Student 14,student14,student1014,Student,student14@library.com,9876500015
U016,Student 15,student15,student1015,Student,student15@library.com,9876500016
U017,Student 16,student16,student1016,Student,student16@library.com,9876500017
U018,Student 17,student17,student1017,Student,student17@library.com,9876500018
U019,Student 18,student18,student1018,Student,student18@library.com,9876500019
U020,Student 19,student19,student1019,Student,student19@library.com,9876500020
U021,Student 20,student20,student1020,Student,student20@library.com,9876500021
U022,Student 21,student21,student1021,Student,student21@library.com,9876500022
U023,Student 22,student22,student1022,Student,student22@library.com,9876500023
U024,Student 23,student23,student1023,Student,student23@library.com,9876500024
U025,Student 24,student24,student1024,Student,student24@library.com,9876500025
U026,Student 25,student25,student1025,Student,student25@library.com,9876500026
U027,Student 26,student26,student1026,Student,student26@library.com,9876500027
U028,Student 27,student27,student1027,Student,student27@library.com,9876500028
U029,Student 28,student28,student1028,Student,student28@library.com,9876500029
U030,Student 29,student29,student1029,Student,student29@library.com,9876500030
U031,Student 30,student30,student1030,Student,student30@library.com,9876500031
U032,Student 31,student31,student1031,Student,student31@library.com,9876500032
U033,Student 32,student32,student1032,Student,student32@library.com,9876500033
U034,Student 33,student33,student1033,Student,student33@library.com,9876500034
U035,Student 34,student34,student1034,Student,student34@library.com,9876500035
U036,Student 35,student35,student1035,Student,student35@library.com,9876500036
U037,Student 36,student36,student1036,Student,student36@library.com,9876500037
U038,Student 37,student37,student1037,Student,student37@library.com,9876500038
U039,Student 38,student38,student1038,Student,student38@library.com,9876500039
U040,Student 39,student39,student1039,Student,student39@library.com,9876500040
U041,Student 40,student40,student1040,Student,student40@library.com,9876500041
U042,Student 41,student41,student1041,Student,student41@library.com,9876500042
U043,Student 42,student42,student1042,Student,student42@library.com,9876500043
U044,Student 43,student43,student1043,Student,student43@library.com,9876500044
U045,Student 44,student44,student1044,Student,student44@library.com,9876500045
U046,Student 45,student45,student1045,Student,student45@library.com,9876500046
U047,Student 46,student46,student1046,Student,student46@library.com,9876500047
U048,Student 47,student47,student1047,Student,student47@library.com,9876500048
U049,Student 48,student48,student1048,Student,student48@library.com,9876500049
U050,Student 49,student49,student1049,Student,student49@library.com,9876500050
U051,Student 50,student50,student1050,Student,student50@library.com,9876500051
U052,Student 51,student51,student1051,Student,student51@library.com,9876500052
U053,Student 52,student52,student1052,Student,student52@library.com,9876500053
U054,Student 53,student53,student1053,Student,student53@library.com,9876500054
U055,Student 54,student54,student1054,Student,student54@library.com,9876500055
U056,Student 55,student55,student1055,Student,student55@library.com,9876500056
U057,Student 56,student56,student1056,Student,student56@library.com,9876500057
U058,Student 57,student57,student1057,Student,student57@library.com,9876500058
U059,Student 58,student58,student1058,Student,student58@library.com,9876500059
U060,Student 59,student59,student1059,Student,student59@library.com,9876500060
U061,Student 60,student60,student1060,Student,student60@library.com,9876500061
U062,Student 61,student61,student1061,Student,student61@library.com,9876500062
U063,Student 62,student62,student1062,Student,student62@library.com,9876500063
U064,Student 63,student63,student1063,Student,student63@library.com,9876500064
U065,Student 64,student64,student1064,Student,student64@library.com,9876500065
U066,Student 65,student65,student1065,Student,student65@library.com,9876500066
U067,Student 66,student66,student1066,Student,student66@library.com,9876500067
U068,Student 67,student67,student1067,Student,student67@library.com,9876500068
U069,Student 68,student68,student1068,Student,student68@library.com,9876500069
U070,Student 69,student69,student1069,Student,student69@library.com,9876500070
U071,Student 70,student70,student1070,Student,student70@library.com,9876500071
U072,Student 71,student71,student1071,Student,student71@library.com,9876500072
U073,Student 72,student72,student1072,Student,student72@library.com,9876500073
